#	Prior	for	EDC	from	AICC2012.
110	0.03073	0.03			
110.55	0.03115	0.03			
111.1	0.03158	0.03			
111.65	0.03158	0.03			
112.2	0.02991	0.03			
112.75	0.02844	0.03			
113.3	0.02844	0.03			
113.85	0.02874	0.03			
114.4	0.02884	0.03			
114.95	0.02884	0.03			
115.5	0.02746	0.03			
116.05	0.02745	0.03			
116.6	0.02778	0.03			
117.15	0.02836	0.03			
117.7	0.02836	0.03			
118.25	0.02915	0.03			
118.8	0.02954	0.03			
119.35	0.02954	0.03			
119.9	0.02961	0.03			
120.45	0.02962	0.03			
121	0.02908	0.03			
121.55	0.02638	0.03			
122.1	0.02638	0.03			
122.65	0.02671	0.03			
123.2	0.02686	0.03			
123.75	0.02704	0.03			
124.3	0.02769	0.03			
124.85	0.02769	0.03			
125.4	0.02795	0.03			
125.95	0.02809	0.03			
126.5	0.02803	0.03			
127.05	0.02706	0.03			
127.6	0.02706	0.03			
128.15	0.02755	0.03			
128.7	0.02795	0.03			
129.25	0.02795	0.03			
129.8	0.02858	0.03			
130.35	0.02858	0.03			
130.9	0.02904	0.03			
131.45	0.02978	0.03			
132	0.02978	0.03			
132.55	0.02864	0.03			
133.1	0.02813	0.03			
133.65	0.02838	0.03			
134.2	0.03053	0.03			
134.75	0.03053	0.03			
135.3	0.0304	0.03			
135.85	0.03014	0.03			
136.4	0.03014	0.03			
136.95	0.03039	0.03			
137.5	0.03055	0.03			
138.05	0.03055	0.03			
138.6	0.02895	0.03			
139.15	0.02864	0.03			
139.7	0.02851	0.03			
140.25	0.02809	0.03			
140.8	0.02809	0.03			
141.35	0.02858	0.03			
141.9	0.02879	0.03			
142.45	0.02868	0.03			
143	0.02788	0.03			
143.55	0.02788	0.03			
144.1	0.02821	0.03			
144.65	0.02844	0.03			
145.2	0.02849	0.03			
145.75	0.02952	0.03			
146.3	0.02952	0.03			
146.85	0.02934	0.03			
147.4	0.02909	0.03			
147.95	0.02909	0.03			
148.5	0.02869	0.03			
149.05	0.0286	0.03			
