240.000 	0.985 
241.600 	0.987 
242.400 	0.989 
243.200 	0.983 
244.000 	0.956 
244.800 	0.988 
245.600 	0.977 
246.400 	0.979 
247.200 	0.975 
253.600 	0.993 
258.400 	0.966 
261.600 	0.990 
262.400 	0.990 
263.200 	0.979 
264.030 	0.993 
264.800 	0.993 
265.600 	0.982 
266.400 	0.986 
267.200 	0.984 
268.000 	0.962 
301.600 	1.000 
304.000 	0.995 
308.000 	0.982 
312.000 	0.989 
313.600 	0.989 
314.400 	0.989 
315.235 	0.998 
316.000 	0.979 
317.600 	0.986 
319.200 	0.989 
320.800 	0.989 
324.800 	0.977 
327.970 	0.984 
328.800 	0.995 
340.000 	0.984 
340.800 	0.984 
341.600 	0.984 
342.400 	0.994 
343.980 	0.993 
344.800 	0.999 
345.600 	0.988 
346.400 	0.992 
347.170 	0.987 
348.000 	0.975 
348.800 	0.989 
349.600 	0.986 
350.400 	0.993 
351.200 	0.981 
351.965 	0.984 
353.600 	0.991 
354.400 	0.988 
355.200 	0.977 
356.000 	0.976 
356.800 	0.987 
357.600 	0.986 
358.400 	0.983 
359.200 	0.989 
360.000 	0.977 
360.800 	0.994 
361.600 	0.993 
362.400 	0.988 
363.200 	0.995 
364.795 	0.981 
365.600 	0.987 
366.400 	0.980 
367.200 	0.991 
368.000 	0.987 
368.800 	0.985 
371.200 	0.998 
373.600 	0.997 
376.000 	0.994 
378.400 	0.990 
380.800 	0.991 
382.400 	0.984 
384.000 	1.000 
385.600 	0.987 
386.400 	0.980 
388.000 	0.986 
388.800 	0.985 
389.600 	0.986 
390.400 	0.988 
391.200 	0.993 
392.000 	0.986 
392.800 	0.990 
393.600 	0.991 
394.400 	1.000 
395.200 	0.993 
396.000 	0.993 
396.800 	0.991 
397.620 	0.998 
398.380 	0.984 
399.200 	0.995 
400.000 	0.986 
400.800 	0.991 
401.600 	0.996 
402.400 	0.991 
404.800 	0.909 
405.570 	0.985 
406.400 	0.999 
407.200 	0.987 
408.000 	0.989 
408.800 	0.996 
409.620 	0.985 
410.400 	0.999 
411.220 	0.988 
412.000 	0.996 
412.800 	0.989 
413.625 	0.995 
414.400 	0.985 
415.200 	0.995 
416.000 	0.989 
416.800 	0.993 
417.585 	0.991 
418.400 	0.989 
419.200 	0.992 
420.015 	0.990 
420.800 	0.989 
421.600 	0.996 
422.400 	0.983 
423.240 	0.997 
424.000 	0.990 
424.800 	0.989 
425.600 	0.995 
426.400 	0.995 
427.200 	0.987 
428.000 	0.989 
428.800 	0.989 
429.600 	0.986 
431.200 	0.984 
432.000 	0.996 
432.800 	0.992 
433.600 	0.991 
434.400 	0.996 
435.200 	0.991 
436.000 	0.991 
436.800 	0.986 
437.600 	0.987 
438.400 	0.995 
439.200 	0.986 
440.000 	0.994 
440.800 	0.980 
441.600 	0.989 
442.400 	0.996 
443.200 	0.992 
444.000 	0.989 
444.800 	0.991 
460.000 	0.986 
460.795 	0.994 
461.600 	0.992 
462.400 	0.991 
463.200 	0.982 
464.000 	0.995 
464.800 	0.966 
465.600 	0.994 
466.400 	0.991 
467.205 	0.989 
468.000 	0.993 
468.800 	0.993 
470.410 	0.993 
471.200 	0.991 
472.000 	0.987 
472.800 	0.993 
473.600 	0.982 
476.000 	0.975 
476.800 	0.989 
477.600 	0.985 
478.400 	0.988 
479.200 	0.990 
480.000 	0.991 
481.600 	0.992 
482.400 	0.990 
483.200 	0.989 
484.000 	0.991 
484.800 	0.988 
485.600 	0.987 
486.400 	0.994 
487.200 	0.983 
487.990 	0.993 
488.800 	0.993 
489.600 	0.986 
490.400 	0.995 
492.000 	1.010 
492.800 	0.983 
493.600 	0.983 
494.400 	0.993 
495.200 	0.988 
496.000 	0.981 
496.800 	0.992 
498.400 	0.989 
499.200 	0.991 
500.800 	0.985 
501.600 	0.981 
502.375 	1.014 
503.200 	0.959 
504.000 	0.976 
504.800 	0.976 
505.600 	0.990 
506.400 	0.993 
507.200 	0.986 
508.000 	0.995 
508.800 	0.992 
509.600 	0.987 
510.400 	0.994 
516.800 	0.995 
517.600 	0.980 
518.400 	0.994 
519.200 	0.991 
520.000 	0.985 
520.800 	0.975 
523.200 	0.993 
536.800 	0.987 
537.580 	1.002 
539.200 	0.988 
540.000 	0.992 
540.800 	0.991 
544.800 	0.975 
545.600 	0.991 
546.400 	0.990 
547.200 	0.987 
548.800 	0.993 
549.600 	0.993 
550.400 	0.979 
551.200 	0.996 
552.000 	0.991 
552.800 	0.988 
553	1
